NeighborhoodName,x,y
Kitsilano,-123.140210599902,49.2744165772043
Kitsilano,-123.143379513697,49.2734086695994
Kitsilano,-123.145420082824,49.2727541006934
Kitsilano,-123.145499738045,49.2706609746428
Kitsilano,-123.145521788113,49.2702188329665
Kitsilano,-123.145547473717,49.2697796544838
Kitsilano,-123.14558178317,49.2693437926426
Kitsilano,-123.14561787727,49.2688983056039
Kitsilano,-123.145632686164,49.2684612091832
Kitsilano,-123.145646142068,49.2680266325766
Kitsilano,-123.145633199272,49.2675957764942
Kitsilano,-123.145630438326,49.267158342384
Kitsilano,-123.145662485141,49.2663012335862
Kitsilano,-123.145693680825,49.2654633715462
Kitsilano,-123.145709333893,49.2650440806724
Kitsilano,-123.145723854913,49.2646253307963
Kitsilano,-123.145741166741,49.2641921879651
Kitsilano,-123.145758571972,49.2637138982272
Kitsilano,-123.145777483822,49.263208536478
Kitsilano,-123.145794375492,49.2627485038595
Kitsilano,-123.145812058596,49.2622879306001
Kitsilano,-123.145829402711,49.2618278073979
Kitsilano,-123.145846406256,49.2613675946522
Kitsilano,-123.145864145814,49.2608880451674
Kitsilano,-123.145882792194,49.2604086743624
Kitsilano,-123.145900133705,49.2599481013329
Kitsilano,-123.14591713625,49.2594879783611
Kitsilano,-123.145934591524,49.2590277648442
Kitsilano,-123.145951705449,49.2585671919835
Kitsilano,-123.145969613918,49.2581071576827
Kitsilano,-123.145986729871,49.257647484079
Kitsilano,-123.146000613905,49.2571679391337
Kitsilano,-123.14836914255,49.2572058417218
Kitsilano,-123.150775185065,49.2572440065412
Kitsilano,-123.151754782659,49.2572592718482
Kitsilano,-123.152410039567,49.2572696510596
Kitsilano,-123.152578479246,49.2572471251382
Kitsilano,-123.152893379479,49.2572772863681
Kitsilano,-123.153175337086,49.257281679396
Kitsilano,-123.15359646003,49.2572881351578
Kitsilano,-123.153960792976,49.2572894489104
Kitsilano,-123.155543310844,49.2573197953855
Kitsilano,-123.157912535242,49.2573580410015
Kitsilano,-123.160280514901,49.257395700158
Kitsilano,-123.162648496567,49.2574328611102
Kitsilano,-123.163632635653,49.2574484689864
Kitsilano,-123.163855123404,49.2574595752697
Kitsilano,-123.164077424261,49.2574826425962
Kitsilano,-123.164285708077,49.2575161617573
Kitsilano,-123.164902158322,49.257611602747
Kitsilano,-123.166473230677,49.2576368694895
Kitsilano,-123.167731513936,49.257656004213
Kitsilano,-123.168407972548,49.257666891451
Kitsilano,-123.17034249004,49.2576968813454
Kitsilano,-123.172275310274,49.2577269313139
Kitsilano,-123.172843427391,49.2577357956655
Kitsilano,-123.174208359731,49.257757038537
Kitsilano,-123.174362940528,49.2577595033708
Kitsilano,-123.176144244827,49.2577871990297
Kitsilano,-123.178077752106,49.2578172408172
Kitsilano,-123.179361550388,49.2578386377688
Kitsilano,-123.18007870964,49.2578529908408
Kitsilano,-123.18079755796,49.2578642790661
Kitsilano,-123.181813780797,49.2578795919349
Kitsilano,-123.182083164103,49.2578835744684
Kitsilano,-123.184016789456,49.2579128871449
Kitsilano,-123.186090150306,49.2579437411575
Kitsilano,-123.18607009208,49.2584863445929
Kitsilano,-123.186054452308,49.2589382875141
Kitsilano,-123.186037793007,49.2593904119069
Kitsilano,-123.186021246401,49.2598424461464
Kitsilano,-123.186004699504,49.2602944803483
Kitsilano,-123.185988722341,49.2607474129335
Kitsilano,-123.185957713378,49.2611812137675
Kitsilano,-123.185940778728,49.2616509654435
Kitsilano,-123.185908137079,49.2625554824426
Kitsilano,-123.185892154982,49.2630075155056
Kitsilano,-123.185879459499,49.2633690698367
Kitsilano,-123.185889847129,49.2634793119682
Kitsilano,-123.185873526946,49.2639319750364
Kitsilano,-123.185857696826,49.264364312242
Kitsilano,-123.185842322494,49.2647973681499
Kitsilano,-123.185825355415,49.2652288977105
Kitsilano,-123.185811752118,49.2656507989134
Kitsilano,-123.185795414233,49.266068927263
Kitsilano,-123.185781352375,49.2664895700652
Kitsilano,-123.185766831515,49.266908774633
Kitsilano,-123.185751515322,49.2673275307781
Kitsilano,-123.185735252034,49.2677658040338
Kitsilano,-123.185703445819,49.2686231034635
Kitsilano,-123.185687325772,49.2690695603513
Kitsilano,-123.185670526028,49.2695161981617
Kitsilano,-123.185654292741,49.2699628350247
Kitsilano,-123.185637607455,49.2704099222453
Kitsilano,-123.185620467122,49.2708566504249
Kitsilano,-123.185602262799,49.2713219965481
Kitsilano,-123.185584741307,49.271788150937
Kitsilano,-123.185567385477,49.272268334671
Kitsilano,-123.185545000718,49.2728887330086
Kitsilano,-123.18553130713,49.2732574829732
Kitsilano,-123.185531219406,49.2732643180714
Kitsilano,-123.185524983394,49.2732639683497
Kitsilano,-123.185479972707,49.2732619721376
Kitsilano,-123.185409003155,49.2732600175651
Kitsilano,-123.185366025498,49.273256039506
Kitsilano,-123.185334950383,49.2732520423401
Kitsilano,-123.185301052453,49.2732510175031
Kitsilano,-123.185269969936,49.2732450417912
Kitsilano,-123.185236945197,49.2732350221704
Kitsilano,-123.185157009012,49.2732300240735
Kitsilano,-123.185124003152,49.2732250406746
Kitsilano,-123.185071031254,49.2732160422333
Kitsilano,-123.185017949717,49.2732080332135
Kitsilano,-123.184981996258,49.2732029645601
Kitsilano,-123.184945034357,49.2732010451874
Kitsilano,-123.184922011381,49.2731980242918
Kitsilano,-123.184888997836,49.2731909723641
Kitsilano,-123.184830014382,49.2731809941613
Kitsilano,-123.184798017717,49.2731730412444
Kitsilano,-123.184760964321,49.2731769676464
Kitsilano,-123.184748985726,49.273186969435
Kitsilano,-123.184717970477,49.2731989801971
Kitsilano,-123.184684983483,49.273199032927
Kitsilano,-123.184641000489,49.2731990132857
Kitsilano,-123.184586010757,49.2731960434011
Kitsilano,-123.184528991669,49.2731960445417
Kitsilano,-123.184488968806,49.2731940399778
Kitsilano,-123.184448945947,49.2731920354001
Kitsilano,-123.184413000268,49.2731890350311
Kitsilano,-123.184380001884,49.273186029948
Kitsilano,-123.184328971981,49.2731809851483
Kitsilano,-123.184295977293,49.2731789693054
Kitsilano,-123.184266950448,49.2731770370592
Kitsilano,-123.184202997833,49.2731720128115
Kitsilano,-123.184165015434,49.2731700048825
Kitsilano,-123.184089957504,49.2731659875422
Kitsilano,-123.184057979371,49.2731629807417
Kitsilano,-123.18401602212,49.273159000555
Kitsilano,-123.183979056275,49.2731560016758
Kitsilano,-123.183956975674,49.2731320245469
Kitsilano,-123.183905949547,49.2731279688245
Kitsilano,-123.183857044126,49.2731150062737
Kitsilano,-123.183810953946,49.2730970029393
Kitsilano,-123.18377496394,49.2730820412668
Kitsilano,-123.183750993146,49.2730679598063
Kitsilano,-123.183723973415,49.2730570308666
Kitsilano,-123.183686948225,49.2730380237982
Kitsilano,-123.183662962786,49.273019985262
Kitsilano,-123.183638033454,49.2729919655854
Kitsilano,-123.1836100325,49.2729609829738
Kitsilano,-123.183582979152,49.2729409707554
Kitsilano,-123.183563952129,49.2729150101586
Kitsilano,-123.183538028721,49.2728940068643
Kitsilano,-123.183520051308,49.2728759587544
Kitsilano,-123.183501946207,49.2728540436973
Kitsilano,-123.183487044459,49.2728400377121
Kitsilano,-123.183451021055,49.272815992692
Kitsilano,-123.183428977875,49.2728019980373
Kitsilano,-123.183402944895,49.2727819841565
Kitsilano,-123.183376012752,49.2727640401707
Kitsilano,-123.183342977384,49.2727509622806
Kitsilano,-123.18328700374,49.2727270387971
Kitsilano,-123.183255028026,49.2726939939291
