301010,10,Robson St.,2016-01-02,2952,5(4)(a)(ii),I,FLASHING 4 ZEROS,N,
301011,10,Cordova St. W.,2016-01-02,2849,21.1,V,PASSENGER ZONE,N,
301012,2,10th Ave E.,2016-01-02,2952,5(4)(a)(ii),I,FLASHING 4 ZEROS,N,
301013,7,Richards St.,2016-01-02,2849,17.1,I,NO STOPPING,N,
301014,2,Broadway St. W.,2016-01-02,2952,5(4)(a)(ii),V,FLASHING 4 ZEROS,N,
301015,1,Broadway St. W.,2016-01-02,2952,5(4)(a)(ii),I,FLASHING 4 ZEROS,N,
301016,16,1st Ave W.,2016-01-02,2952,5(4)(a)(ii),I,FLASHING 4 ZEROS,N,
301017,25,Blenheim St.,2016-01-02,2952,5(4)(a)(ii),I,FLASHING 4 ZEROS,N,
301018,44,10th Ave W.,2016-01-02,2952,5(4)(a)(ii),I,FLASHING 4 ZEROS,N,
301019,43,10th Ave W.,2016-01-02,2952,5(4)(a)(ii),I,FLASHING 4 ZEROS,N,
