Work Order ID,Status,Asset Type,Asset ID,Location ID,Created Date,Modified Date,Submitted Date,Closed Date,Fiscal Year,Work Type,Work Needed,Work Type Other,Work Requested By,Job Description,Problem Found,Action Taken,Follow-Up Needed,Child Work Order,Parent Work Order,Is Follow-Up,TMC Issue ID,Service Request #,Damage Report,Location Name,Latitude,Longitude,Location
WRK17-001865,Submitted,Signal,317,LOC16-001550,08/24/2017 03:28:00 PM +0000,09/14/2017 06:42:00 PM +0000,08/24/2017 03:56:00 PM +0000,09/14/2017 06:42:00 PM +0000,2017,Scheduled Work,Installation - Other,,Austin Transportation Staff,,bad cable for nb in the conduits,"pulled in 20 conductor cable for nb signals and peds . installed a new 332 cabinet , respliced all signals and peds for 2 way project .",False,,,,,,, 5TH ST / TRINITY ST,,,POINT (-97.7396774 30.2661324)
WRK18-024015,Closed,Flashing Beacon,37,LOC17-010340,07/02/2018 03:03:00 AM +0000,07/10/2018 07:28:00 PM +0000,07/02/2018 03:10:00 AM +0000,07/10/2018 07:28:00 PM +0000,2018,Trouble Call,Other,PED BUTTON NOT WORKING CORRECTLY,311 Customer Service Request (CSR),PUSH BUTTON NOT WORKING CORRECLTY,NORTH PUSH BUTTON WORKING BUT SPEAKER IS BLOWN,CHECK APS BUTTON WORKED PROPERLY PLACED CALL TO CROSS,True,,,False,TMC18-065250,18-00207687,,2200 BLK BARTON SPRINGS RD (Speed Limit Flasher west of Stratford Dr ),,,POINT (-97.771239 30.267483)
WRK18-009090,Closed,School Beacon,,LOC17-012115,01/11/2018 08:08:00 PM +0000,01/22/2018 10:41:00 PM +0000,01/11/2018 09:56:00 PM +0000,01/22/2018 10:41:00 PM +0000,2018,Trouble Call,Knockdown,,311,,Hanging school Zone flasher headed NB.,Utilized lane swift to redirect traffic and remounted damaged signal. tested output to head for proper operation. ,False,,,False,TMC18-039015,18-00010254,180: 5700 BLK REICHER DR,"5700 BLK REICHER DR (BERTHA SADLER, PECAN SPRINGS)",,,POINT (-97.6768153 30.30303027)
WRK19-042950,Submitted,No Asset / Unkown Location / Other,,,03/03/2019 04:23:00 PM +0000,03/05/2019 08:21:00 PM +0000,03/03/2019 11:26:00 PM +0000,03/05/2019 08:21:00 PM +0000,2019,Trouble Call,Digtess,,311,,No locate required ,Notified 311,False,,,False,TMC19-106065,19-00076162,,,,,
WRK18-016640,Closed,School Beacon,7405,LOC17-011795,04/14/2018 09:26:00 PM +0000,04/23/2018 07:46:00 PM +0000,04/14/2018 09:59:00 PM +0000,04/23/2018 07:46:00 PM +0000,2018,Trouble Call,Knockdown,,Austin Transportation Staff,School zone light pole knocked down overnight,School zone flasher knockdown.,"Rebuilt school zone flasher. Use all original except 2 4"" poles. checked operation.",False,,,False,TMC18-052400,18-00107569,,"1726 BLK SCOFIELD LN (WESTVIEW, PARMER)",,,POINT (-97.68961106 30.41698874)
WRK17-006100,Closed,School Beacon,7407,LOC17-011805,12/01/2017 07:27:00 PM +0000,01/23/2018 01:50:00 PM +0000,12/01/2017 07:32:00 PM +0000,01/23/2018 01:50:00 PM +0000,2018,Trouble Call,Visibility Issue,,MMC,West bound tree limbs blocking heads ,none ,treee limbs ok you can see the heads from over 250 ft,False,,,,,,,5200 BLK DUVAL RD (DAVIS),,,POINT (-97.74135006 30.41862448)
WRK22-136035,Submitted,School Beacon Zone,,LOC17-012005,01/03/2022 04:05:00 PM +0000,01/10/2022 12:36:00 PM +0000,01/04/2022 07:53:00 PM +0000,01/10/2022 12:36:00 PM +0000,2022,Trouble Call,Visibility Issue,,311,,found coupling loose in foundation. ,Tightened coupling with chain wrench 1 full turn. Now secure.,False,,,False,TMC22-275600,22-00001878,,6800 BLK BILL HUGHES RD (BEDICHEK),,,POINT (-97.78672586 30.19442411)
WRK22-136860,Closed,School Beacon Zone,,,01/14/2022 05:36:00 PM +0000,01/27/2022 05:56:00 PM +0000,01/14/2022 06:14:00 PM +0000,01/27/2022 05:56:00 PM +0000,2022,Trouble Call,Other,Program IP information for using port 6 on the switch.,TMC/KITS,Program IP information for using port 6 on the switch.,web i/o ip is incorrect.,reprogrammed correct ip and configured web i/o. Communication now operating normally on port 6 of switch.,False,,,False,TMC22-276775,,,,,,
WRK19-042930,Closed,No Asset / Unkown Location / Other,,,03/02/2019 03:05:00 PM +0000,03/05/2019 08:23:00 PM +0000,03/03/2019 11:32:00 PM +0000,03/05/2019 08:23:00 PM +0000,2019,Trouble Call,Digtess,,311,,No locate required ,Notified 311,False,,,False,TMC19-105960,19-00075338,,,,,
WRK18-029545,Submitted,No Asset / Unkown Location / Other,,,08/24/2018 11:20:00 AM +0000,08/27/2018 03:05:00 PM +0000,08/24/2018 03:22:00 PM +0000,08/27/2018 03:05:00 PM +0000,2018,Trouble Call,Digtess,,311,,No issues present ,"Verified with workers of location of work , Signals in clear ",False,,,False,TMC18-076205,18-00278564,,,,,
WRK19-069480,Closed,No Asset / Unkown Location / Other,,,11/20/2019 04:56:00 AM +0000,12/06/2019 08:43:00 PM +0000,11/20/2019 07:14:00 AM +0000,12/06/2019 08:43:00 PM +0000,2020,Trouble Call,Digtess,,311,,No problem found ,They stated to 311 that they would be digging in a hour. No one was on sight and the physical address given was not interfering with any traffic signal operations. ,False,,,False,TMC19-160980,19-00443516,,,,,
WRK18-008295,Closed,Other / No Asset,,,01/03/2018 04:46:00 PM +0000,01/17/2018 06:43:00 PM +0000,01/04/2018 04:36:00 PM +0000,01/17/2018 06:43:00 PM +0000,2018,Trouble Call,Digtess,,311 Customer Service Request (CSR),Dig Test,Not an intersection at location of 2700 Mt. Laurel,Called 311 to close page.. Got on Koreweb to check location of Dig test,False,,,False,TMC18-037895,18-00001792,,,,,
WRK20-076655,Submitted,Other / No Asset,,,02/12/2020 06:45:00 PM +0000,07/10/2020 03:25:00 PM +0000,02/12/2020 06:52:00 PM +0000,07/10/2020 03:25:00 PM +0000,2020,Scheduled Work,Misc - School Zone Transfer,,Austin Transportation Staff,Transfer school zone flasher equipment to new pipe pole foundation,N/A,Four inch pipe pole installed on new foundation with extension. School zone equipment transferred to four inch pipe pole setup. Source wire extended.,False,,,False,,,,,,,
WRK21-111625,Closed,Flashing Beacon,,LOC17-010645,04/14/2021 02:53:00 PM +0000,08/18/2021 03:37:00 PM +0000,04/27/2021 11:38:00 AM +0000,08/18/2021 03:37:00 PM +0000,2021,Trouble Call,Signal Out or on Flash,,MMC,"Amber flasher stuck on solid, reported by Edward G.",Warning flasher LED is consistently on. ,Removed all old cell modem equipment and wired in the LED and necessary cables to the DC flash cube. Verified that Solar panel and batteries voltages were good and LED was flashing.  ,False,,,False,,,,10964 BLK BOULDER LN,,,POINT (-97.822066 30.439032)
WRK21-114830,Closed,Flashing Beacon,,LOC17-010825,05/14/2021 03:04:00 PM +0000,05/21/2021 06:00:00 PM +0000,05/14/2021 05:21:00 PM +0000,05/21/2021 06:00:00 PM +0000,2021,Trouble Call,Other,Not flashing,Austin Transportation Staff,,Bad batteries. Bad DC LED,Replace battery and 1 DC LED. Clean cabinet and solar panel. Tested operation. ,False,,,False,,,,4800 BLK FM 2222 RD,,,POINT (-97.783604 30.342528)
WRK20-098525,Submitted,Flashing Beacon,,LOC17-010970,11/10/2020 03:40:00 PM +0000,08/06/2021 02:58:00 PM +0000,11/12/2020 11:55:00 AM +0000,08/06/2021 02:58:00 PM +0000,2021,Trouble Call,Knockdown,,MMC,Northbound stop sign and flasher knockdown. ,Flasher knockdown ,"Rebuilt  stopnsign flasher, used most for the original  hardware.  Ha had to resplice back to the source drop from the riser. The fuse and  cube flasher failed I replaced  them,  stop sign flasher is back to normal operation ",False,,,False,,,515:  GEORGIAN DR / FAWNRIDGE DR, GEORGIAN DR / FAWNRIDGE DR,,,POINT (-97.694954 30.358351)
WRK20-075175,Closed,Other / No Asset,,,01/24/2020 12:56:00 PM +0000,03/30/2020 12:06:00 PM +0000,03/27/2020 11:30:00 PM +0000,03/30/2020 12:06:00 PM +0000,2020,Trouble Call,Digtess,,311 Customer Service Request (CSR),Dig tess,No asset or construction near intersection,No asset or construction near intersection,False,,,False,TMC20-172435,20-00029073,,,,,
WRK22-147220,Assigned,School Beacon Zone,,LOC17-011715,05/19/2022 08:49:00 PM +0000,05/19/2022 08:49:00 PM +0000,05/19/2022 08:49:00 PM +0000,,2022,Trouble Call,Visibility Issue,,311,Flasher is turned to the right and is difficult to see,,,False,,,False,TMC22-293725,22-00172976,,2300 BLK COLLEGE AVE (ST IGNATIUS),,,POINT (-97.75406105 30.23973679)
WRK18-032935,Submitted,No Asset / Unkown Location / Other,,,10/03/2018 03:48:00 PM +0000,10/10/2018 03:53:00 PM +0000,10/03/2018 04:16:00 PM +0000,10/10/2018 03:53:00 PM +0000,2019,Trouble Call,Digtess,,311,replace utility pole and lines,did not respond,"Riverside/Wickersham...... called contractor and he said they were only placing a down guy anchor back into original hole, he would call me if he needed me.",False,,,False,TMC18-083650,18-00331743,,,,,
WRK17-001770,Closed,Signal,370,LOC16-001815,08/21/2017 12:45:00 PM +0000,09/14/2017 06:33:00 PM +0000,08/21/2017 12:49:00 PM +0000,09/14/2017 06:33:00 PM +0000,2017,Trouble Call,Push Button Not Working,,MMC,report of peds not going to walk phase,none found,"checked all colors, peds, buttons, detection, and programs",False,,,,,,, 12TH ST / CHICON ST,,,POINT (-97.7199097 30.2737865)
WRK21-122935,Unassigned,Flashing Beacon,,LOC17-010650,08/03/2021 10:49:00 PM +0000,08/03/2021 10:49:00 PM +0000,08/03/2021 10:49:00 PM +0000,,2021,Trouble Call,LED out,,Austin Transportation Staff,"Need to trouble  shoot solar panel/ relay panel, flasher on but not flashing ",,,False,,WRK20-099505,True,,,, BOULDER LN / APPLETREE LN,,,POINT (-97.823012 30.440135)
WRK18-016290,Submitted,Flashing Beacon,,LOC17-011270,04/10/2018 02:52:00 PM +0000,05/14/2018 08:20:00 PM +0000,04/12/2018 11:23:00 AM +0000,05/14/2018 08:20:00 PM +0000,2018,Trouble Call,Visibility Issue,,COA Staff,Hazard flashers turned in the wrong direction.,2nd indication turned and LED halfway out,"turned and tightened head and replaced Amber LED
4/11- replaced amber LED on 1st indication and visor",False,,,False,TMC18-051635,,,1600 BLK SAN JACINTO BLVD,,,POINT (-97.73655 30.2775)
WRK22-147115,Closed,Flashing Beacon,,LOC17-010700,05/18/2022 10:59:00 PM +0000,05/23/2022 06:20:00 PM +0000,05/18/2022 11:09:00 PM +0000,05/23/2022 06:20:00 PM +0000,2022,Trouble Call,Other,CCTV not working.,Austin Transportation Staff,“Reset CCTV”.,CCTV not working.,"Instructed to reset CCTV. POE showed power going to the CCTV. Tried to log in to CCTV with factory IP (192.0.0.64). Called Kenny to get IP for CCTV (172.16.95.42). Tried logging in with assigned IP, but was unsuccessful. Removed tape from the CCTV. While testing the Cat5x noticed a RJ45 connector on the camera side was made incorrectly (testers cable anyway and cable test failed)). Made new connection at camera. Tested cable again and the cable test passed. Logged into the CCTV with factory settings. Changed IP to 172.16.95.42. Called MMC to verify comm and video for the camera. ",False,,,False,,,,4000 BLK BULL CREEK RD,,,POINT (-97.753437 30.313697)
WRK17-005875,Closed,No Asset / Unkown Location / Other,,,11/27/2017 09:53:00 PM +0000,01/02/2018 08:15:00 PM +0000,11/27/2017 11:21:00 PM +0000,01/02/2018 08:15:00 PM +0000,2018,Trouble Call,Other,School flasher not flashing.,311,,"3 clocks off by 1 hour , 1 clock has a bad chip and needs to be replaced.",Contacted vendor for tech support. Turned day light savings time on and set 3 clocks. Notified TMC of problem with chip. Spoke with vendor he will supply new chip. Gave TMC contact information and school flasher info.,False,,,,TMC17-033560,17-00352987,,,,,
WRK22-147480,Submitted,School Beacon Zone,,LOC17-011830,05/23/2022 06:32:00 PM +0000,05/26/2022 09:40:00 PM +0000,05/26/2022 08:22:00 PM +0000,05/26/2022 09:40:00 PM +0000,2022,Trouble Call,Other,School zone flasher is flashing at wrong time. It's flashing at 12:50pm.,311,School zone flasher is flashing at wrong time. It's flashing at 12:50pm.,School zone flasher was having issues with keeping the correct time of day. And would flash at odd hours of the day and night.,"Identified which school zone that was giving issues and changed out the WBCU, downloaded the correct school year schedule and put in time of day. Also verified with mmc that they could communicate with it.",False,,,False,TMC22-294180,22-00177801,,6712 BLK CORPUS CHRISTI DR (JOLLYVILLE),,,POINT (-97.7506377 30.44426627)
WRK17-001275,Closed,Signal,71,LOC16-000350,06/02/2017 02:38:00 AM +0000,06/02/2017 02:43:00 AM +0000,,,2017,Trouble Call,LED Out,,311 Customer Service Request (CSR),sblt is out,none,check all colors peds and pbs,False,,,,,,, RED RIVER ST / CLYDE LITTLEFIELD DR,,,POINT (-97.7279663 30.2832279)
WRK22-145405,Closed,Flashing Beacon,,LOC17-011110,04/22/2022 06:53:00 PM +0000,05/25/2022 03:00:00 PM +0000,04/22/2022 06:55:00 PM +0000,05/25/2022 03:00:00 PM +0000,2022,Scheduled Work,Installation - Camera,,Austin Transportation Staff,CCTV Install. 35th & Mopac. ,CCTV Install. 35th and Mopac.,"35th and Mopac. 

Installed CCTV per usual. Installed school zone cabinets at eye level height on pole. Ran cat5 from camera to new cabinet. Ran 7 conductor cable from existing signal (flasher) housings to get power to newly installed cabinets. Installed POE. Programmed camera (192.168.1.30). Installed antennae for cell modem. 

60 feet of cat5. ",False,,,False,,,,2000 BLK W 35TH ST,,,POINT (-97.757948 30.308974)
WRK18-031270,Submitted,No Asset / Unkown Location / Other,,,09/12/2018 03:54:00 PM +0000,09/23/2018 08:15:00 PM +0000,09/12/2018 07:14:00 PM +0000,09/23/2018 08:15:00 PM +0000,2018,Trouble Call,Other,"Caller states: Pedestrian crossing signal dumped in bushes

14401 Owen Tech BLVD @ Korman Dr
near IHOP",COA Staff,"Pedestrian crossing signal dumped in bushes

14401 Owen Tech BLVD @ Korman Dr
near IHOP",none,"found pipe and peds in brush, picked up",False,,,False,TMC18-079860,,,,,,
WRK18-036510,Closed,No Asset / Unkown Location / Other,,,12/03/2018 01:47:00 PM +0000,12/04/2018 02:02:00 PM +0000,12/03/2018 05:12:00 PM +0000,12/04/2018 02:02:00 PM +0000,2019,Trouble Call,Other,The flashing yellow sign for pedestrian was knocked over and lying on the ground,311,forwarded from signs: The flashing yellow sign for pedestrian was knocked over and lying on the ground Between heading north on speedway. on the left. by garage,Sign down.,Need to contact UT personnel about fixing it.,False,,,False,TMC18-093815,18-00411825,,,,,
WRK21-109655,Closed,No Asset / Unkown Location / Other,,,03/22/2021 04:03:00 PM +0000,03/29/2021 03:02:00 PM +0000,03/22/2021 06:22:00 PM +0000,03/29/2021 03:02:00 PM +0000,2021,Trouble Call,Other,Called citizen and he verified it is the eastbound beacon that is not working.,311,School entrance for Austin Discovery School out,none,Checked beacons for proper operation with clock test switch.  Checked solar panel input voltage and battery output voltage. Checked clock schedule and verified correct. No trouble found. ,False,,,False,TMC21-229400,21-00132087,,,,,
WRK17-001760,Submitted,School Flasher,,,08/20/2017 11:59:00 PM +0000,08/21/2017 01:16:00 AM +0000,08/21/2017 01:16:00 AM +0000,09/04/2017 03:28:00 PM +0000,2017,Trouble Call,OtherCall-Back (Test Monitors and Cabinets),BEDICHECK MIDDLE SCHOOL NOT FLASHING,MMC,BEDICHECK MIDDLE SCHOOL. NOT FLASHING - SR # 17-00238291,NB CLOCK ON S 1ST (UNIT ADDRESS 11) MISSING 2017/2018 SCHEDULE.,SCHEDULE PROGRAMMED IN NB CLOCK. ALL CLOCKS CHECKED FOR DATE TIME SCHEDULE FLASH OPERATION AND COMM. NO OTHER ISSUES FOUND,False,,,,,,,,,,
WRK19-039910,Closed,Flashing Beacon,5,LOC17-010575,01/23/2019 05:17:00 PM +0000,01/25/2019 07:01:00 PM +0000,01/24/2019 08:58:00 PM +0000,01/25/2019 07:01:00 PM +0000,2019,Trouble Call,Knockdown,,Austin Transportation Staff,knocked down,"got truck stuck, ran over mailbox, hazard flasher knocked down","removed knocked down pole, will return after it dries out, returned 1/24, re-built hazard flasher for NB, replaced cube flasher, checked operation",False,,,False,,,401:  CLAWSON RD / SOUTHGATE CIR, CLAWSON RD / SOUTHGATE CIR,,,POINT (-97.779864 30.234689)
WRK22-147435,Closed,School Beacon Zone,,,05/23/2022 01:45:00 PM +0000,05/23/2022 04:47:00 PM +0000,05/23/2022 02:50:00 PM +0000,05/23/2022 04:47:00 PM +0000,2022,Trouble Call,Visibility Issue,,311,Tree covering school zone flasher on webberville,Tree limbs covering school beacon see pictures ,trimmed tree around school beacon see pictures,False,,,False,TMC22-294130,22-00177141,,,,,
WRK18-014600,Submitted,School Beacon,,LOC17-012155,03/23/2018 11:39:00 AM +0000,04/16/2018 03:45:00 PM +0000,03/23/2018 07:31:00 PM +0000,04/16/2018 03:45:00 PM +0000,2018,Trouble Call,LED Out,,311,Left light s bound is going out,no issue found on Cameron and St Johns SZ flasher. Found LED out on Berkman near 290 SZ flasher,Replaced Amber LED and tested WBCU on Berkman SZ flasher,False,,,False,TMC18-048660,18-00082525,,1400 BLK E ST JOHNS AVE (REAGAN),,,POINT (-97.69117185 30.32414948)
WRK18-029810,Closed,Other / No Asset,,,08/27/2018 04:26:00 PM +0000,08/29/2018 01:53:00 PM +0000,08/27/2018 04:28:00 PM +0000,08/29/2018 01:53:00 PM +0000,2018,Trouble Call,Push Button Not Working,,Austin Transportation Staff,"Push button not working
",Push button on NE corner (for Westbound ped traffic) not working. ,Replaced push button.,False,,,False,,,,,,,
WRK21-135125,Closed,School Beacon Zone,,LOC17-012180,12/17/2021 04:17:00 PM +0000,12/17/2021 07:31:00 PM +0000,12/17/2021 07:04:00 PM +0000,12/17/2021 07:31:00 PM +0000,2022,Trouble Call,Other,Westbound Live Oak at Alta Vista not flashing.,311,,"Reports of lights not working, blown fuse on Live Oaks and Rebel",Went back to shop and grabbed two 6.25A fuses to place into cabinet. Popped one in and checked for operation. Left last fuse in cabinet for future. ,False,,,False,TMC21-273355,21-00550426,,2000 BLK ALAMEDA DR (TRAVIS HEIGHTS),,,POINT (-97.74590534 30.24144841)
WRK17-001870,Submitted,Signal,316,LOC16-001545,08/24/2017 03:42:00 PM +0000,09/14/2017 06:42:00 PM +0000,08/24/2017 04:00:00 PM +0000,09/14/2017 06:42:00 PM +0000,2017,Scheduled Work,Installation - Other,,Austin Transportation Staff,resplice and rephase for 2 way,,installed wb  mast arm and standard . repliced signals and peds to new cable removed all old cable and the 336 cabinet for 2 way project .,False,,,,,,, 5TH ST / SAN JACINTO BLVD,,,POINT (-97.7407303 30.2664375)
WRK21-134480,Closed,School Beacon Zone,,LOC17-011975,12/08/2021 02:26:00 PM +0000,12/08/2021 08:15:00 PM +0000,12/08/2021 04:04:00 PM +0000,12/08/2021 08:15:00 PM +0000,2022,Trouble Call,LED Out,,311,,No problem found,"When arriving to location, called MMC to turn on SZFs in area. Drove though the school zones to check for lights being out, blinking rapidly, or in general being beat up. All lights worked as intended. Check a few side streets just to make sure nothing was missed. Called MMC to confirm what was seen and shut off SZFs.",False,,,False,TMC21-272070,21-00538490,,8100 BLK CROFTWOOD DR (BOONE),,,POINT (-97.84070259 30.20401287)
WRK22-147165,Closed,School Beacon Zone,,LOC17-011705,05/19/2022 01:34:00 PM +0000,05/19/2022 04:45:00 PM +0000,05/19/2022 03:10:00 PM +0000,05/19/2022 04:45:00 PM +0000,2022,Trouble Call,LED Out,,311,,Neutral at source broke on span ,Replaced amber LED still didn't come on found neutral was broke where it tied to source on span at top of the pole installed new split bolt School zone operating at this time ,False,,,False,TMC22-293655,22-00171996,,600 BLK W ST ELMO RD (ST ELMO),,,POINT (-97.77357614 30.22184351)
WRK17-002175,Submitted,Signal,446,LOC16-002190,09/06/2017 11:38:00 AM +0000,09/22/2017 09:03:00 PM +0000,09/06/2017 11:40:00 AM +0000,09/22/2017 09:03:00 PM +0000,2017,Trouble Call,Signal Out or on Flash,,MMC,"CSR 261717
IN FLASH",phase 11 red fail,reset 2070 and monitored,False,,,,,,, FAR WEST BLVD / WOOD HOLLOW DR,,,POINT (-97.7531357 30.3534126)
WRK22-141400,Closed,School Beacon Zone,,,03/08/2022 04:10:00 PM +0000,03/15/2022 01:50:00 PM +0000,03/08/2022 09:42:00 PM +0000,03/15/2022 01:50:00 PM +0000,2022,Trouble Call,Other,"Street(s) surrounding the malfunctioning Flasher(s)	Shire Ridge Dr. and Country Tails Ln.
school zone not flashing",311,,Replaced dc cube flasher.,"Replaced dc cube flasher and still couldn't get school zone to flash, clock was making a loud clicking noise upon arrival, might need a need a new board.",True,,,False,TMC22-283715,22-00079828,,,,,
WRK17-006860,Closed,Other / No Asset,,,12/12/2017 11:57:00 AM +0000,12/28/2017 06:58:00 PM +0000,12/12/2017 12:01:00 PM +0000,12/28/2017 06:58:00 PM +0000,2018,Trouble Call,Digtess,,311 Customer Service Request (CSR), Dig tess at 4510 duval st.,None ( no locate required ).,Called 311 and researched this location.,False,,,False,TMC17-035170,17-00365733,,,,,
WRK20-100075,Submitted,Other / No Asset,,,12/03/2020 06:10:00 PM +0000,12/04/2020 02:53:00 PM +0000,12/03/2020 06:27:00 PM +0000,12/04/2020 02:53:00 PM +0000,2021,Trouble Call,Other,Follow-up on DSDD I worked on 11/17/2020,Austin Transportation Staff,Follow-up on DSDD I worked on 11/17/2020,"DSDD sign I had originally worked on was rotated out on 11/20/2020. New sign missing battery, currently running off one battery. ","I called Billy to inform him that the DSDD sign on location did not look like it did the last time I was here which was 11/17/2020. He informed me that on 11/20/2020 the sign shop installed a new DSDD sign and took the old one out of rotation. I told him that the new sign was missing a battery and that the solar panel was facing SW instead of E like we spoke about the last time I was here so that it face's the sun as it rises. He told me that as far as he knows the manufacture requested the panels to face SW and that the sign shop was instructed to install them that way, he also asked me to ask the manufacture if this was still the way they wanted them installed the next time I spoke with them and to inform him of any changes so he could relay the message. I left the sign as is and I will try and locate another battery for the DSDD unit, I will also contact the manufacture and get more clarification about how we should face solar panels and if running a unit off a single battery is recommended for future reference. ",False,,,False,,,,,,,
WRK18-019520,Closed,School Beacon,,LOC17-011835,05/17/2018 02:21:00 PM +0000,06/12/2018 04:02:00 PM +0000,05/22/2018 11:21:00 AM +0000,06/12/2018 04:02:00 PM +0000,2018,Trouble Call,Timing Issue,,311,both of the flashers on Oak view aren't flashing,no issues found,"checked all SZ flashers while operating, no issues",False,,,False,TMC18-057375,18-00144890,,7100 BLK CARLWOOD DR (CARAWAY),,,POINT (-97.76954536 30.4196656)
WRK21-135105,Closed,School Beacon Zone,,LOC17-011750,12/17/2021 04:29:00 AM +0000,12/17/2021 02:55:00 PM +0000,12/17/2021 12:58:00 PM +0000,12/17/2021 02:55:00 PM +0000,2022,Trouble Call,LED Out,,311,Multiple locations on W William Cannon DR: In front of Jack in the Box and one going EB just EB & WB of Starstreak DR there is another flashing light. Put in for the work twice already and has not done anything about it. Is a bus monitor/driver and there are others on Pleasant Hill are not flashing thinks it may be due to the time change.,No problem found,Walked intersection and verified any damage,False,,,False,TMC21-273410,21-00550981,,6400 BLK CIRCLE S RD (PLEASANT HILL),,,POINT (-97.77620291 30.19639326)
WRK21-134860,Submitted,School Beacon Zone,,LOC17-011570,12/15/2021 01:37:00 AM +0000,12/16/2021 04:07:00 PM +0000,12/15/2021 09:51:00 PM +0000,12/16/2021 04:07:00 PM +0000,2022,Trouble Call,Timing Issue,,311,,No problem found ,Checked school zones and no school zones on.,False,,,False,TMC21-273045,21-00547954,,1500 BLK CRIPPLE CREEK DR (COOK),,,POINT (-97.70467293 30.37785965)
WRK18-009175,Closed,School Beacon,,LOC17-011840,01/12/2018 03:16:00 PM +0000,01/29/2018 04:59:00 PM +0000,01/12/2018 05:12:00 PM +0000,01/29/2018 04:59:00 PM +0000,2018,Trouble Call,Other,School Zone flasher LED out. Location of flasher is on Hyridge between Tallwood / Mesa per the individual who reported the flasher out.,311,it is believed the light is flashing in the afternoon and not in the4 morning. On hyridge between Masa and Tallwood,School zone schedule off by one day.,"Time and date updated, schedule times verified, all LED's checked.",False,,,False,TMC18-039210,18-00010960,,"8400 BLK TALLWOOD DR (HILL, ANDERSON)",,,POINT (-97.74861111 30.3765964)
WRK19-057080,Closed,Other / No Asset,,,07/10/2019 03:44:00 AM +0000,07/18/2019 05:41:00 PM +0000,07/10/2019 04:37:00 AM +0000,07/18/2019 05:41:00 PM +0000,2019,Trouble Call,Digtess,,311 Customer Service Request (CSR),Hit Line In Progress,None. Austin water working at address given in CSR.,Drove by address given and surrounding area to verify no traffic signals were affected. Called Howser when page was received to verify we didn't have any new assets or contractors working in the area of address given in CSR.,False,,,False,TMC19-132925,19-00259966,,,,,
WRK19-059505,Submitted,Flashing Beacon,,LOC16-007285,08/01/2019 06:48:00 PM +0000,08/13/2019 12:42:00 PM +0000,08/02/2019 05:13:00 PM +0000,08/13/2019 12:42:00 PM +0000,2019,Trouble Call,Knockdown,,311,"southbound pedestrian crossing, behind akins high school. pole is leaning toward traffic.",SB PED flasher on ground behind Akins High School. Foundation for pipe pole stripped out.,"Installed new 4"" pipe pole and transferred all signs and flasher beacon from old pole to new one. Verified Flasher still had power and was functioning. Verified flasher for opposing direction was stable and functioning. Called Willard to inform him about stripped foundation and asked to send somebody with extra materials needed to complete job. Installed new T-base foundation to erect crosswalk flasher.",False,,,False,TMC19-137095,19-00292048,,10100 BLK OLD SAN ANTONIO RD,,,POINT (-97.798659 30.149129)
